 step|path                                                                                                    |               value
=====|========================================================================================================|====================
    1|rollout_stats         BaseEnvEvents         reward                        median_step_count             |             500.000
    1|rollout_stats         BaseEnvEvents         reward                        mean_step_count               |             500.000
    1|rollout_stats         BaseEnvEvents         reward                        episode_count                 |              50.000
    1|rollout_stats         BaseEnvEvents         reward                        std                           |               0.000
    1|rollout_stats         BaseEnvEvents         reward                        mean                          |             500.000
    1|rollout_stats         BaseEnvEvents         reward                        min                           |             500.000
    1|rollout_stats         BaseEnvEvents         reward                        max                           |             500.000
    1|rollout_stats         BaseEnvEvents         reward                        total_step_count              |           25000.000
    1|rollout_stats         BaseEnvEvents         reward                        total_episode_count           |              50.000
    1|rollout_stats         RewardEvents          reward_original               median_step_count             |             500.000
    1|rollout_stats         RewardEvents          reward_original               mean_step_count               |             500.000
    1|rollout_stats         RewardEvents          reward_original               episode_count                 |              50.000
    1|rollout_stats         RewardEvents          reward_original               std                           |               0.000
    1|rollout_stats         RewardEvents          reward_original               mean                          |             500.000
    1|rollout_stats         RewardEvents          reward_original               min                           |             500.000
    1|rollout_stats         RewardEvents          reward_original               max                           |             500.000
    1|rollout_stats         RewardEvents          reward_original               step_mean                     |               1.000
