episode_id	env_time	dc_id	n_items	product_id
3a1b785a-99ab-4ea5-ad97-def07819ad94	4	3	1	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	4	3	1	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	5	4	0	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	5	4	2	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	5	3	1	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	5	3	1	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	6	4	0	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	6	4	2	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	6	3	1	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	6	3	1	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	4	3	1	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	4	3	1	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	5	4	0	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	5	4	2	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	5	3	1	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	5	3	1	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	6	4	0	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	6	4	2	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	6	3	1	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	6	3	1	1
2b0594e7-773b-4c3a-9eb6-98326146c078	4	3	1	0
2b0594e7-773b-4c3a-9eb6-98326146c078	4	3	1	1
2b0594e7-773b-4c3a-9eb6-98326146c078	5	4	0	0
2b0594e7-773b-4c3a-9eb6-98326146c078	5	4	2	1
2b0594e7-773b-4c3a-9eb6-98326146c078	5	3	1	0
2b0594e7-773b-4c3a-9eb6-98326146c078	5	3	1	1
2b0594e7-773b-4c3a-9eb6-98326146c078	6	4	0	0
2b0594e7-773b-4c3a-9eb6-98326146c078	6	4	2	1
2b0594e7-773b-4c3a-9eb6-98326146c078	6	3	1	0
2b0594e7-773b-4c3a-9eb6-98326146c078	6	3	1	1
