episode_id	env_time	destination_id	n_items	product_id	source_id
3a1b785a-99ab-4ea5-ad97-def07819ad94	0	2	1	0	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	0	2	2	1	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	1	2	1	0	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	1	2	4	1	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	2	2	1	0	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	2	2	4	1	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	2	3	1	0	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	3	2	1	0	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	3	2	4	1	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	3	3	1	0	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	3	3	1	1	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	3	4	1	1	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	4	2	1	0	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	4	2	4	1	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	4	3	1	0	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	4	3	1	1	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	4	4	3	1	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	5	2	1	0	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	5	2	4	1	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	5	3	1	0	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	5	3	1	1	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	5	4	3	1	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	6	2	1	0	0
3a1b785a-99ab-4ea5-ad97-def07819ad94	6	2	4	1	1
3a1b785a-99ab-4ea5-ad97-def07819ad94	6	3	1	0	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	6	3	1	1	2
3a1b785a-99ab-4ea5-ad97-def07819ad94	6	4	3	1	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	0	2	1	0	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	0	2	2	1	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	1	2	1	0	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	1	2	4	1	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	2	2	1	0	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	2	2	4	1	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	2	3	1	0	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	3	2	1	0	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	3	2	4	1	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	3	3	1	0	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	3	3	1	1	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	3	4	1	1	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	4	2	1	0	0
5309deb9-359f-42bf-87ff-1a6bfd2af46a	4	2	4	1	1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	4	3	1	0	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	4	3	1	1	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	4	4	3	1	2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	5	2	1	0	0
